Angle,Area,Density,Velocity,Force,Cd,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,210,186.13243,0.444454505,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,240,245.68761,0.449163675,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,270,310.08471,0.447916105,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,300,381.94139,0.446887358,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,30,4.526501,0.470772887,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,60,17.479807,0.454491185,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,90,39.171965,0.452669956,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,120,69.104292,0.449193912,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,150,108.76142,0.452463638,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,180,156.08958,0.45094153,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,210,211.6998,0.449338044,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,240,275.62946,0.447913841,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,270,347.95568,0.446773838,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.9,300,428.68791,0.445851321,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,30,5.0525272,0.472933406,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,60,19.204046,0.449390698,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,90,44.008824,0.457708087,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,120,77.577151,0.453842513,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,150,120.59769,0.451533849,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,180,173.01819,0.449863332,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,210,234.63022,0.448207583,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,240,321.91053,0.470810935,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,270,385.78734,0.445814598,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1,300,500.14266,0.46815022,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,30,5.5431131,0.471685349,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,60,23.180432,0.493128588,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,90,48.243695,0.456138469,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,120,90.236694,0.479912255,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,150,132.44752,0.450819267,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,180,200.11823,0.473023589,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,210,271.27251,0.471094846,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,240,353.47869,0.469982741,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,270,446.44295,0.469007294,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.1,300,549.33128,0.467447645,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,30,6.2924526,0.490828801,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,60,25.181979,0.491066097,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,90,55.840084,0.483964648,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,120,98.077956,0.478147082,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,150,149.94664,0.467850196,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,180,206.71829,0.447905596,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,210,280.4458,0.446439842,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,240,365.36491,0.445304359,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,270,461.52958,0.444451737,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,1.2,300,568.83246,0.443705137,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,30,3.0640568,0.485012817,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,60,11.913085,0.471433731,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,90,26.701983,0.469631706,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,120,46.747247,0.462479473,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,150,72.908366,0.461629719,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,180,103.92854,0.456971094,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,210,138.81319,0.448426282,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,240,180.52927,0.446502666,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,270,226.47239,0.442574766,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.6,300,277.94545,0.439962816,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,30,3.546606,0.48119661,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,60,14.023958,0.475685842,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,90,30.762931,0.463761633,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,120,54.515595,0.462285624,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,150,84.409296,0.45809957,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,180,119.92419,0.451974473,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,210,160.43125,0.444224494,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,240,207.92673,0.440798354,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,270,262.85752,0.440296265,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.7,300,323.86871,0.439418772,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,30,4.0045946,0.475418661,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,60,15.954507,0.473522985,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,90,34.915068,0.460561945,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,120,61.955836,0.459705719,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,150,95.481962,0.453418247,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,180,136.03675,0.448612546,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,210,182.92497,0.443194722,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,240,237.73867,0.440998916,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,270,300.04299,0.439760414,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.8,300,369.962,0.439212595,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,30,4.5488036,0.480023314,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,60,17.927582,0.472962678,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,90,39.030266,0.457640179,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,120,69.594194,0.459005798,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,150,106.83195,0.45094782,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,180,151.35566,0.443671274,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,210,204.41388,0.440229809,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,240,266.40586,0.439267371,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,270,336.24247,0.438059087,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,0.9,300,414.13276,0.437023441,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,30,5.0299531,0.477717983,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,60,19.586309,0.46505066,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,90,43.293578,0.456865774,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,120,77.080567,0.457543692,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,150,117.7196,0.447215064,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,180,167.25106,0.441239143,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,210,226.64105,0.439288817,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,240,295.31794,0.438245546,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,270,374.12175,0.438667634,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1,300,457.50941,0.434517914,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,30,5.4980061,0.474701044,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,60,21.410915,0.462157713,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,90,47.624784,0.456883505,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,120,84.502357,0.455998915,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,150,129.37695,0.446819244,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,180,183.45344,0.439985464,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,210,249.32867,0.439330252,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,240,324.94467,0.438373621,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,270,408.7811,0.435733307,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.1,300,502.44114,0.433810602,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,30,6.0012468,0.474971877,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,60,23.275924,0.460546353,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,90,51.528611,0.453139932,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,120,91.116221,0.450715118,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,150,140.14379,0.443670199,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,180,199.86133,0.439392542,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,210,270.92111,0.43759583,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,240,351.65037,0.434868062,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,270,444.1117,0.433943916,,,,,,,,,,,,,,,,,,,,,,,
60,0.023398059,1.2,300,547.19408,0.433079671,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,30,2.9802694,0.480882301,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,60,11.295979,0.455666556,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,90,25.085031,0.449733669,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,120,44.525358,0.449025192,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,150,69.371421,0.447737894,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,180,99.534308,0.446121928,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,210,135.00578,0.444569385,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,240,175.62131,0.442772366,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,270,221.51741,0.441271741,,,,,,,,,,,,,,,,,,,,,,,
50,0.022953714,0.6,300,272.22983,0.439257294,,,,,,,,,,,,,,,,,,,,,,,
