deployment_level,mach,cd_increment
0.0001,0.9029,0.0
0.0001,0.9141,0.0
0.0001,0.9268,0.0
0.0001,0.9415,0.0
0.0001,0.9587,0.0
0.2116,0.0884,0.0
0.2116,0.0893,0.0
0.2116,0.0903,0.0
0.2116,0.0914,0.04201676050000008
0.2116,0.0927,0.04587247450000004
0.2116,0.0941,0.05020158850000006
0.2116,0.0959,0.039330900999999974
0.2116,0.1767,0.0
0.2116,0.1786,0.0
0.2116,0.1806,0.0006788002500000001
0.2116,0.1828,0.04474548825000002
0.2116,0.1854,0.03755577566666668
0.2116,0.1883,0.04109383666666666
0.2116,0.1917,0.04472923466666667
0.2116,0.2651,0.0
0.2116,0.2678,0.0002659327500000308
0.2116,0.2709,0.0021284167500000284
0.2116,0.2742,0.04402973975000002
0.2116,0.2781,0.03953916299999999
0.2116,0.2824,0.04242129099999997
0.2116,0.2876,0.040949665999999996
0.2116,0.3535,0.002721580999999973
0.2116,0.3571,0.0014600550000000156
0.2116,0.3611,0.003138103000000003
0.2116,0.3656,0.040214780000000006
0.2116,0.3707,0.042553492000000026
0.2116,0.3766,0.03873524150000002
0.2116,0.3835,0.042538621499999985
0.2116,0.4419,0.0034145660000000078
0.2116,0.4464,0.0022746734999999907
0.2116,0.4514,0.0038601404999999978
0.2116,0.457,0.03975459600000003
0.2116,0.4634,0.04183010800000003
0.2116,0.4707,0.04062095200000004
0.2116,0.4793,0.04079697199999999
0.2116,0.5302,0.003947200999999956
0.2116,0.5357,0.002803797499999927
0.2116,0.5417,0.004303178499999949
0.2116,0.5485,0.04041996999999997
0.2116,0.5561,0.03854412500000004
0.2116,0.5649,0.04093581500000004
0.2116,0.5752,0.04085829399999996
0.2116,0.6186,0.003809080999999992
0.2116,0.625,0.00496466799999995
0.2116,0.632,0.003978222000000031
0.2116,0.6399,0.040228319999999984
0.2116,0.6488,0.03951053600000004
0.2116,0.659,0.03952283499999998
0.2116,0.6711,0.03959937999999996
0.2116,0.707,0.004262174499999993
0.2116,0.7142,0.005256344499999954
0.2116,0.7223,0.00442790799999998
0.2116,0.7313,0.040248930000000016
0.2116,0.7415,0.03967978900000002
0.2116,0.7532,0.039501129000000024
0.2116,0.767,0.039298685
0.2116,0.7953,0.004579064999999993
0.2116,0.8035,0.005440960999999966
0.2116,0.8126,0.004773858999999991
0.2116,0.8227,0.04030710900000001
0.2116,0.8342,0.03968893499999998
0.2116,0.8473,0.039343640999999985
0.2116,0.8628,0.039003902000000035
0.2116,0.8837,0.005272217999999995
0.2116,0.8928,0.005087964
0.2116,0.9029,0.004882655999999985
0.2116,0.9141,0.004634550000000015
0.2116,0.9268,0.03977671100000002
0.2116,0.9415,0.03972250599999999
0.2116,0.9587,0.03890142099999999
0.3924,0.0884,0.03817891050000005
0.3924,0.0893,0.04072173450000005
0.3924,0.0903,0.043274900500000046
0.3924,0.0914,0.04618815650000008
0.3924,0.0927,0.005299188500000052
0.3924,0.0941,0.009292735500000038
0.3924,0.0959,0.0
0.3924,0.1767,0.043682450250000004
0.3924,0.1786,0.04520101525000003
0.3924,0.1806,0.04708700625000001
0.3924,0.1828,0.04945247325000002
0.3924,0.1854,0.0
0.3924,0.1883,0.0031535986666667015
0.3924,0.1917,0.00707816766666669
0.3924,0.2651,0.04502086875
0.3924,0.2678,0.04650419075000001
0.3924,0.2709,0.048363399750000036
0.3924,0.2742,0.05029405375000001
0.3924,0.2781,0.004310294999999964
0.3924,0.2824,0.006031528000000008
0.3924,0.2876,0.003275342999999986
0.3924,0.3535,0.050400701999999964
0.3924,0.3571,0.04903626
0.3924,0.3611,0.05076752400000001
0.3924,0.3656,0.04774890100000001
0.3924,0.3707,0.008526683000000035
0.3924,0.3766,0.004750220500000013
0.3924,0.3835,0.006839521500000001
0.3924,0.4419,0.05196577499999999
0.3924,0.4464,0.050830694499999995
0.3924,0.4514,0.05242022550000003
0.3924,0.457,0.04999932699999998
0.3924,0.4634,0.010181147000000002
0.3924,0.4707,0.008130172000000047
0.3924,0.4793,0.007131995999999974
0.3924,0.5302,0.051676053
0.3924,0.5357,0.050693460499999954
0.3924,0.5417,0.052486241499999975
0.3924,0.5485,0.05120143599999999
0.3924,0.5561,0.008657258000000057
0.3924,0.5649,0.011523985000000014
0.3924,0.5752,0.008839167999999953
0.3924,0.6186,0.05052769699999998
0.3924,0.625,0.051896575
0.3924,0.632,0.05107948299999998
0.3924,0.6399,0.05110130399999996
0.3924,0.6488,0.01140448500000002
0.3924,0.659,0.00998585599999996
0.3924,0.6711,0.00976186699999998
0.3924,0.707,0.050131552499999954
0.3924,0.7142,0.05114448249999998
0.3924,0.7223,0.050124873000000014
0.3924,0.7313,0.05009011499999999
0.3924,0.7415,0.011217764000000019
0.3924,0.7532,0.010687285000000046
0.3924,0.767,0.009666279999999972
0.3924,0.7953,0.05004438499999997
0.3924,0.8035,0.05087272300000001
0.3924,0.8126,0.050110089000000024
0.3924,0.8227,0.04942735000000004
0.3924,0.8342,0.045661652
0.3924,0.8473,0.011665321999999978
0.3924,0.8628,0.010460430999999992
0.3924,0.8837,0.05036436999999999
0.3924,0.8928,0.05015473499999995
0.3924,0.9029,0.04988021100000001
0.3924,0.9141,0.04962908100000002
0.3924,0.9268,0.049344686000000026
0.3924,0.9415,0.011647728999999996
0.3924,0.9587,0.011386581999999978
0.545,0.0884,0.010499552500000064
0.545,0.0893,0.012258683500000034
0.545,0.0903,0.012535957500000083
0.545,0.0914,0.017006035500000072
0.545,0.0927,0.018617824500000046
0.545,0.0941,0.021532171500000086
0.545,0.0959,0.01152387699999996
0.545,0.1767,0.01894101125000003
0.545,0.1786,0.01990934025000002
0.545,0.1806,0.021127331249999992
0.545,0.1828,0.022964170250000027
0.545,0.1854,0.014767371666666695
0.545,0.1883,0.018049892666666678
0.545,0.1917,0.020456480666666665
0.545,0.2651,0.024136214749999996
0.545,0.2678,0.025236021750000004
0.545,0.2709,0.026483718749999996
0.545,0.2742,0.02790215275000002
0.545,0.2781,0.021576678999999988
0.545,0.2824,0.023260141999999984
0.545,0.2876,0.019779519999999995
0.545,0.3535,0.02588825
0.545,0.3571,0.023795869000000025
0.545,0.3611,0.025011400000000017
0.545,0.3656,0.019536484999999992
0.545,0.3707,0.021151678000000007
0.545,0.3766,0.01701771350000003
0.545,0.3835,0.018904411499999996
0.545,0.4419,0.02983860599999999
0.545,0.4464,0.02825852350000002
0.545,0.4514,0.029261379500000018
0.545,0.457,0.02577507699999998
0.545,0.4634,0.02734341699999998
0.545,0.4707,0.025076743000000012
0.545,0.4793,0.023815593999999995
0.545,0.5302,0.028653006999999953
0.545,0.5357,0.02961548149999993
0.545,0.5417,0.030722210499999958
0.545,0.5485,0.029258881000000014
0.545,0.5561,0.027063929000000042
0.545,0.5649,0.02917359900000005
0.545,0.5752,0.02682689899999996
0.545,0.6186,0.028830211999999966
0.545,0.625,0.02972990999999997
0.545,0.632,0.028486316999999983
0.545,0.6399,0.02778184899999997
0.545,0.6488,0.02703925800000001
0.545,0.659,0.025636742999999962
0.545,0.6711,0.02792696
0.545,0.707,0.03207600449999998
0.545,0.7142,0.03156774149999997
0.545,0.7223,0.029328259000000023
0.545,0.7313,0.028640266000000025
0.545,0.7415,0.027901756
0.545,0.7532,0.02703030900000003
0.545,0.767,0.025571379000000005
0.545,0.7953,0.032793501
0.545,0.8035,0.03454242699999999
0.545,0.8126,0.03365678900000002
0.545,0.8227,0.03181446400000004
0.545,0.8342,0.03107789900000002
0.545,0.8473,0.02782722999999998
0.545,0.8628,0.02914212500000002
0.545,0.8837,0.03373324799999999
